"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158667"
"WMO Identifier","71265"
"TC Identifier","YTZ"

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","*","2.0","","-9.9","","-4.0","","22.0","","0.0","","","M","","M","0.5","","","","31","","50",""
"2010-01-02","2010","01","02","*","-9.9","","-16.5","","-13.2","","31.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-01-03","2010","01","03","*","-8.8","","-14.7","","-11.8","","29.8","","0.0","","","M","","M","0.5","","","","30","","56",""
"2010-01-04","2010","01","04","*","-6.4","","-11.9","","-9.2","","27.2","","0.0","","","M","","M","0.5","","","","33","","56",""
"2010-01-05","2010","01","05","*","-3.3","","-10.4","","-6.9","","24.9","","0.0","","","M","","M","1.0","","","","34","","35",""
"2010-01-06","2010","01","06","*","-1.8","","-8.8","","-5.3","","23.3","","0.0","","","M","","M","0.5","","","","31","","41",""
"2010-01-07","2010","01","07","*","-2.2","","-5.7","","-4.0","","22.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-01-08","2010","01","08","*","-5.5","","-11.3","","-8.4","","26.4","","0.0","","","M","","M","0.0","","","","33","","44",""
"2010-01-09","2010","01","09","*","-8.4","","-14.0","","-11.2","","29.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-01-10","2010","01","10","*","-2.1","","-12.9","","-7.5","","25.5","","0.0","","","M","","M","0.5","","","","25","","57",""
"2010-01-11","2010","01","11","*","-2.9","","-5.9","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","25","","52",""
"2010-01-12","2010","01","12","*","-4.1","","-7.4","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","30","","37",""
"2010-01-13","2010","01","13","*","0.8","","-4.7","","-2.0","","20.0","","0.0","","","M","","M","0.5","","","","24","","56",""
"2010-01-14","2010","01","14","*","3.9","","-3.6","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","22","","44",""
"2010-01-15","2010","01","15","*","4.8","","2.0","","3.4","","14.6","","0.0","","","M","","M","0.0","","","","25","","35",""
"2010-01-16","2010","01","16","*","2.8","","-0.6","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","25","","41",""
"2010-01-17","2010","01","17","*","2.9","","-0.2","","1.4","","16.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"2010-01-18","2010","01","18","*","2.2","","-0.9","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","24","","35",""
"2010-01-19","2010","01","19","*","2.1","","-2.1","","0.0","","18.0","","0.0","","","M","","M","0.0","","","","25","","32",""
"2010-01-20","2010","01","20","*","-0.8","","-5.3","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","33","","35",""
"2010-01-21","2010","01","21","*","1.2","","-6.0","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","8","","48",""
"2010-01-22","2010","01","22","*","2.1","","-0.7","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","6","","54",""
"2010-01-23","2010","01","23","*","2.7","","-3.3","","-0.3","","18.3","","0.0","","","M","","M","0.0","","","","8","","48",""
